id,hotelid,hotelname,address,city,country,zipcode,propertytype,starrating,latitude,longitude,Source,url,curr
84954,274198,Hotel Los Leones - Adults Only,Plaza Igual y Gil 3,Rubielos de Mora,Spain,44415,Hotels,2,40.19039349,-0.65052688,2,http://www.booking.com/hotel/es/los-leones.en-gb.html,EUR
84955,274200,Hotel Villa De Andosilla,"Plaza San Cosme Y San Damian,6",Andosilla,Spain,31261,Hotels,3,42.37760786,-1.9442676,2,http://www.booking.com/hotel/es/villa-de-andosilla.en-gb.html,EUR
84956,274205,Hotel Imperador,Av. 5 De Outubro 55,Lisbon,Portugal,,Hotels,2,38.73553068,-9.14755784,2,http://www.booking.com/hotel/pt/residencia-imperador.en-gb.html,EUR
84957,274208,Romantik Hotel Gutshaus Ludorf,Rondell 7-8,Ludorf,Germany,17207,Hotels,4,53.37942177,12.66976953,2,http://www.booking.com/hotel/de/romantik-gutshaus-ludorf.en-gb.html,EUR
84958,274211,Hotel Cenit & Apts. Sol y Viento,"Archiduque Luis Salvador, s/n",Ibiza Town,Spain,7800,Hotels,2,38.90615433,1.42614931,2,http://www.booking.com/hotel/es/cenit.en-gb.html,EUR
84959,274212,Agnadi Hotel,Agia Anna,Naxos Island,Greece,84300,Hotels,2,37.06961823,25.36326027,5,https://www.agoda.com/en-gb/agnadi-hotel/hotel/naxos-island-gr.html,EUR
84960,274213,alpha thun,Gwattstrasse 4,Thun,Switzerland,3604,Hotels,3,46.74065927,7.62753122,2,http://www.booking.com/hotel/ch/alpha-thun.en-gb.html,CHF
84961,274215,Hotel Zeus,Agios Georgios,Naxos Island,Greece,84300,Hotels,2,37.09999084,25.3769207,5,https://www.agoda.com/en-gb/hotel-zeus/hotel/naxos-island-gr.html,EUR
84962,274217,Fikas Hotel,Naxos chora,Naxos Island,Greece,84300,Hotels,2,37.09263992,25.37907028,5,https://www.agoda.com/en-gb/fikas-hotel/hotel/naxos-island-gr.html,EUR
84963,2742193,Aherlow House B&B,Rocklands Castlebar,Castlebar,Ireland,,Bed and breakfasts,3,53.832861,-9.272723,2,http://www.booking.com/hotel/ie/aherlow-house-b-amp-b.en-gb.html,EUR
84964,2742207,Hotel Buly Opava,2 Holasicka,Opava,Czech Republic,,Hotels,3,49.940653,17.911618,2,http://www.booking.com/hotel/cz/buly-opava.en-gb.html,EUR
84965,274221,La Lune De Mougins - Hotel & Spa,1082 Avenue Du General De Gaulle,Mougins,France,6250,Hotels,3,43.61155649,7.00807035,2,http://www.booking.com/hotel/fr/la-lune-de-mougins-spa.en-gb.html,EUR
84966,2742213,Monet Garden Hotel Amsterdam,Valkenburgerstraat 76,Amsterdam,Netherlands,,Hotels,4,52.36978792,4.90726228,2,http://www.booking.com/hotel/nl/monet-garden-amsterdam.en-gb.html,EUR
84967,274226,Pension Rudolph,Haldaweg 87a,Gaschurn,Austria,6793,Hotels,3,46.98285812,10.02597928,2,http://www.booking.com/hotel/at/pension-rudolph.en-gb.html,EUR
84968,274233,Hotel Polin***,Morawica 285,Morawica,Poland,,Hotels,3,50.07842491,19.76020932,2,http://www.booking.com/hotel/pl/motel-morawica.en-gb.html,PLN
84969,274242,Hotel Tisza es Thermalfurdo,Verseghy Park 2.,Szolnok,Hungary,5000,Hotels,3,47.17204519,20.19704998,2,http://www.booking.com/hotel/hu/tisza-szolnok.en-gb.html,EUR
84970,274249,Eurostars Mar de Vigo,"Avenida de Beiramar, 57",Vigo,Spain,36202,Hotels,4,42.23196512,-8.73450637,2,http://www.booking.com/hotel/es/eurostars-mardevigo.en-gb.html,EUR
84971,274255,Hotel Bellavista,Via da lalp,Silvaplana,Switzerland,7513,Hotels,4,46.45812659,9.81025994,2,http://www.booking.com/hotel/ch/bellavista-silvaplana.en-gb.html,CHF
84972,2742630,Seacrest B&B,"Inis mor, Co Galway Kilronan",Kilronan,Ireland,,Bed and breakfasts,3,53.11935183,-9.67043102,2,http://www.booking.com/hotel/ie/seacrest-b-amp-b-kilronan.en-gb.html,EUR
84973,274275,Hotel Hermes,"Str. Toporasilor, Nr.20",Alba Iulia,Romania,510134,Hotels,3,46.07539278,23.55927408,2,http://www.booking.com/hotel/ro/hermes.en-gb.html,RON
84974,274282,Hotel Klimczok Resort&Spa,Poziomkowa 20,Szczyrk,Poland,,Hotels,4,49.72625299,19.00313169,2,http://www.booking.com/hotel/pl/klimczok.en-gb.html,PLN
84975,274287,Kochsberg,Kochsberg 1,Grebendorf,Germany,37276,Hotels,3,51.20801263,10.07020622,2,http://www.booking.com/hotel/de/kochsberg.en-gb.html,EUR
84976,274290,Hotel Historic,Bellmirall 4,Girona,Spain,17004,Hotels,4,41.98629105,2.82649577,2,http://www.booking.com/hotel/es/historic.en-gb.html,EUR
84977,274296,Hotel Villa De Almazan,"Avenida De Soria, 29",Almazan,Spain,42200,Hotels,4,41.4941058,-2.5360769,2,http://www.booking.com/hotel/es/villa-de-almazan.en-gb.html,EUR
84978,2743042,Villa Jadranka,Silba 153,Silba,Croatia,23295,Bed and breakfasts,3,44.371329,14.69243,2,http://www.booking.com/hotel/hr/villa-jadranka-silba.en-gb.html,EUR
84979,274319,Palma Panzio Kaposvar,Szechenyi square 6,Kaposvar,Hungary,7400,Hotels,4,46.35777664,17.79476166,5,https://www.agoda.com/en-gb/palma-panzio-kaposvar/hotel/kaposvar-hu.html,EUR
